"CHILDID","C7DESMTH","C7R4MSCL","S7_ID","C6R4MSCL","P6EXPECT","GENDER","RACE","WKSESL","WKPOV_R","WKMOMED","P7HFAMIL","S7PUPRI","R7REGION","R7URBAN"
"0001002C",1,168.77,"C001",152.24,"4y college",0,"WHITE",1.56,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0001010C",1,143.01,"C001",134.9,"4y college",0,"WHITE",1.41,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0002003C",0,156.67,"C001",133.67,"4y college",1,"WHITE",-2.93,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0002004C",1,165.81,"C001",141.27,"4y college",0,"WHITE",0.54,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0002006C",0,142.62,"C001",115.4,"less than",0,"WHITE",-0.93,"BELOW POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0002008C",0,134,"C001",80.16,"less than",0,"WHITE",0.15,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0002018C",0,142.11,"C002",132.85,"4y college",0,"WHITE",-0.23,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0002022C",1,169.21,"C001",155.59,"more than",0,"WHITE",-0.55,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0002024C",0,138.57,"C001",120.62,"4y college",0,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0005004C",0,150.21,"C002",117.13,"less than",0,"HISPANIC",-1.08,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0005006C",0,131.18,"C002",105.83,"less than",0,"WHITE",-0.66,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0005009C",0,132.4,"C002",116.28,"4y college",0,"WHITE",-0.94,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0006001C",1,168.8,"C001",153.54,"more than",0,"HISPANIC",-0.68,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0006002C",0,147.22,"C002",107.93,"more than",1,"HISPANIC",-0.93,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0006003C",0,142.93,"C002",119.61,"4y college",1,"WHITE",0.66,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0006007C",1,132.88,"C002",123.79,"less than",1,"WHITE",-0.11,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0006010C",0,146.11,"C002",138.75,"less than",0,"WHITE",-0.69,"BELOW POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0006011C",0,164.82,"C002",104.61,"less than",1,"WHITE",-0.54,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0006017C",1,154.66,"C002",140.92,"4y college",0,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0006022C",0,141.56,"C002",127.71,"4y college",1,"WHITE",-1.14,"BELOW POVERTY THRESHOLD","less than high school","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007002C",1,130.97,"0007",124.01,"4y college",1,"WHITE",1,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007004C",1,166.12,"0007",138.62,"more than",1,"WHITE",0.96,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007006C",1,145.83,"0007",105.86,"4y college",0,"WHITE",1.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007008C",1,154.36,"0007",116.97,"4y college",1,"WHITE",0.98,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007010C",0,145.91,"0007",102.75,"less than",1,"WHITE",0.76,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007017C",1,161.74,"0007",139.79,"4y college",0,"WHITE",1.95,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007018C",1,167.5,"0007",139.62,"4y college",1,"WHITE",1.51,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007023C",1,157.1,"0007",141,"less than",1,"WHITE",0.48,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0009001C",1,106.45,"C008",86.8,"less than",0,"WHITE",-1.2,"BELOW POVERTY THRESHOLD","less than high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009003C",0,132.78,"C008",119.38,"4y college",0,"WHITE",0.82,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
